id,year,fips
A000014,1938,36029.0
A000014,1939,36029.0
A000014,1940,36029.0
A000014,1941,36029.0
A000014,1942,36029.0
A000014,1943,36029.0
A000014,1944,36029.0
A000014,1945,36029.0
A000014,1946,36029.0
A000014,1947,36029.0
A000014,1948,36029.0
A000014,1949,36029.0
A000014,1950,36029.0
A000014,1951,36029.0
A000014,1952,36029.0
A000014,1953,36029.0
A000014,1954,36029.0
A000014,1955,36029.0
A000014,1956,36029.0
A000014,1957,36029.0
A000014,1958,36029.0
A000014,1959,36093.0
A000014,1959.0,36029.0
A000014,1960,36093.0
A000014,1961,36093.0
A000014,1962,36093.0
A000014,1963,36093.0
A000014,1964,15003.0
A000014,1964.0,36093.0
A000014,1965,15003.0
A000014,1966,15003.0
A000014,1967,15003.0
A000014,1968,15003.0
A000014,1969,15003.0
A000014,1970,15003.0
A000014,1971,15003.0
A000014,1972,15003.0
A000014,1973,15003.0
A000014,1974.0,15003.0
A000022,1942,36047.0
A000022,1943,36047.0
A000022,1944,36047.0
A000022,1945,36047.0
A000022,1946,36047.0
A000022,1947,36047.0
A000022,1948,36047.0
A000022,1949,36047.0
A000022,1950,36047.0
A000022,1951,36047.0
A000022,1952,36047.0
A000022,1953,36047.0
A000022,1954,36047.0
A000022,1955,36047.0
A000022,1956,36047.0
A000022,1957,36047.0
A000022,1958,36047.0
A000022,1959,36047.0
A000022,1960,36081.0
A000022,1960.0,36047.0
A000022,1961,36081.0
A000022,1962,36081.0
A000022,1963,36081.0
A000022,1964,36081.0
A000022,1965,36081.0
A000022,1966.0,36081.0
A000055,1965,1133.0
A000055,1966,1133.0
A000055,1967,1133.0
A000055,1968,1133.0
A000055,1969,1133.0
A000055,1970,1133.0
A000055,1971,1133.0
A000055,1972,1133.0
A000055,1973,1133.0
A000055,1974,1133.0
A000055,1975,1133.0
A000055,1976,1133.0
A000055,1977,1133.0
A000055,1978,1133.0
A000055,1979,1133.0
A000055,1980,1133.0
A000055,1981,1133.0
A000055,1982,1133.0
A000055,1983,1073.0
A000055,1983.0,1133.0
A000055,1984,1073.0
